epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,195.853,1.35619,0.70539,1.18255,0.95966,0.89977,0.93278,0.64351,1.42411,0.71528,1.36501,0.0079606,0.0079606,0.0079606
105,197.646,1.35619,0.69897,1.19029,0.97104,0.90473,0.93935,0.65856,1.35308,0.67365,1.32434,0.0079408,0.0079408,0.0079408
106,199.478,1.3864,0.71506,1.20665,0.96451,0.90639,0.937,0.65568,1.38732,0.69425,1.33755,0.007921,0.007921,0.007921
107,201.246,1.35774,0.70187,1.18828,0.96091,0.9052,0.94017,0.66049,1.37597,0.68721,1.33368,0.0079012,0.0079012,0.0079012
108,203.009,1.3671,0.69333,1.18563,0.96244,0.90425,0.93963,0.6551,1.38457,0.68391,1.33469,0.0078814,0.0078814,0.0078814
109,204.774,1.33878,0.69615,1.18206,0.96518,0.90086,0.93541,0.64948,1.37951,0.70112,1.332,0.0078616,0.0078616,0.0078616
110,206.548,1.34506,0.69091,1.16887,0.9638,0.90473,0.9386,0.65245,1.39611,0.68682,1.33935,0.0078418,0.0078418,0.0078418
111,208.335,1.34983,0.70128,1.1811,0.95518,0.90253,0.93486,0.64117,1.48197,0.71885,1.36534,0.007822,0.007822,0.007822
112,210.158,1.34988,0.69764,1.16669,0.97534,0.90363,0.93824,0.64914,1.39452,0.68607,1.33772,0.0078022,0.0078022,0.0078022
113,211.951,1.33183,0.68958,1.17848,0.97451,0.89977,0.94401,0.65576,1.36181,0.66832,1.316,0.0077824,0.0077824,0.0077824
114,213.734,1.3596,0.6952,1.16899,0.96739,0.90198,0.93841,0.64267,1.4204,0.69677,1.3504,0.0077626,0.0077626,0.0077626
115,215.538,1.34436,0.68833,1.18437,0.96716,0.9108,0.94486,0.65995,1.3763,0.67231,1.33122,0.0077428,0.0077428,0.0077428
116,217.317,1.35953,0.69284,1.17927,0.96341,0.91176,0.94422,0.65478,1.35904,0.67482,1.31583,0.007723,0.007723,0.007723
117,219.078,1.32844,0.69018,1.16202,0.96314,0.90814,0.9384,0.65166,1.39132,0.67736,1.33301,0.0077032,0.0077032,0.0077032
118,220.898,1.32855,0.68371,1.18604,0.97801,0.89901,0.93896,0.65552,1.36082,0.6593,1.3257,0.0076834,0.0076834,0.0076834
119,222.717,1.32164,0.68167,1.16178,0.95666,0.91075,0.939,0.66013,1.37533,0.68493,1.33382,0.0076636,0.0076636,0.0076636
120,224.489,1.33023,0.68288,1.19338,0.97097,0.91194,0.94357,0.64541,1.39795,0.67237,1.33641,0.0076438,0.0076438,0.0076438
121,226.31,1.33006,0.68451,1.17591,0.9736,0.90064,0.93941,0.65134,1.35983,0.67205,1.32596,0.007624,0.007624,0.007624
122,228.095,1.33445,0.68216,1.16949,0.9714,0.90473,0.9392,0.65882,1.35901,0.68076,1.33395,0.0076042,0.0076042,0.0076042
123,229.887,1.33304,0.68573,1.17965,0.96456,0.9076,0.93738,0.65296,1.37684,0.67595,1.33022,0.0075844,0.0075844,0.0075844
